output-code-1.txt vs output-code-34.txt: 898/6897;Percent similarity is 13.02015369001015
output-code-1.txt vs output-code-35.txt: 1265/9804;Percent similarity is 12.902896776825784
output-code-1.txt vs output-code-36.txt: 318/2394;Percent similarity is 13.283208020050125
output-code-1.txt vs output-code-37.txt: 886/6783;Percent similarity is 13.062066932035973
output-code-1.txt vs output-code-40.txt: 1283/9975;Percent similarity is 12.862155388471178
output-code-1.txt vs output-code-41.txt: 1071/8208;Percent similarity is 13.048245614035087
output-code-1.txt vs output-code-42.txt: 1300/10146;Percent similarity is 12.812931204415534
output-code-1.txt vs output-code-43.txt: 1069/8151;Percent similarity is 13.114955220218377
output-code-1.txt vs output-code-44.txt: 1077/8265;Percent similarity is 13.030852994555353
output-code-1.txt vs output-code-45.txt: 609/4503;Percent similarity is 13.524317121918722
output-code-1.txt vs output-code-46.txt: 602/4446;Percent similarity is 13.540260908681962
output-code-1.txt vs output-code-48.txt: 779/5928;Percent similarity is 13.141025641025642
output-code-1.txt vs output-code-49.txt: 551/4104;Percent similarity is 13.425925925925927
output-code-1.txt vs output-code-50.txt: 713/5415;Percent similarity is 13.167128347183748
output-code-1.txt vs output-code-51.txt: 200/1539;Percent similarity is 12.99545159194282
output-code-1.txt vs output-code-52.txt: 607/4503;Percent similarity is 13.479902287363979
output-code-1.txt vs output-code-53.txt: 784/5985;Percent similarity is 13.099415204678364
output-code-1.txt vs output-code-54.txt: 738/5643;Percent similarity is 13.078149920255184
output-code-1.txt vs output-code-55.txt: 699/5301;Percent similarity is 13.18619128466327
output-code-1.txt vs output-code-56.txt: 312/2337;Percent similarity is 13.350449293966623
output-code-1.txt vs output-code-57.txt: 967/7353;Percent similarity is 13.151094791241668
output-code-1.txt vs output-code-58.txt: 619/4617;Percent similarity is 13.406974225687676
output-code-1.txt vs output-code-60.txt: 434/3135;Percent similarity is 13.843700159489632
output-code-1.txt vs output-code-62.txt: 757/5814;Percent similarity is 13.0202958376333
output-code-1.txt vs output-code-63.txt: 697/5301;Percent similarity is 13.14846255423505
output-code-1.txt vs output-code-64.txt: 541/4047;Percent similarity is 13.367926859402028
output-code-1.txt vs output-code-65.txt: 792/6042;Percent similarity is 13.108242303872888
output-code-1.txt vs output-code-67.txt: 1281/9975;Percent similarity is 12.842105263157894
output-code-1.txt vs output-code-68.txt: 2436/19266;Percent similarity is 12.6440361258175
output-code-1.txt vs output-code-69.txt: 51/513;Percent similarity is 9.941520467836257
output-code-1.txt vs output-code-70.txt: 848/6498;Percent similarity is 13.050169282856263
output-code-1.txt vs output-code-71.txt: 751/5757;Percent similarity is 13.044988709397257
output-code-1.txt vs output-code-72.txt: 365/2736;Percent similarity is 13.3406432748538
output-code-1.txt vs output-code-73.txt: 1184/9234;Percent similarity is 12.822178904050249
output-code-1.txt vs output-code-74.txt: 698/5301;Percent similarity is 13.16732691944916
output-code-1.txt vs output-code-75.txt: 812/6270;Percent similarity is 12.950558213716109
output-code-1.txt vs output-code-76.txt: 272/2052;Percent similarity is 13.255360623781677
output-code-1.txt vs output-code-77.txt: 298/2223;Percent similarity is 13.405308142150247
output-code-1.txt vs output-code-78.txt: 650/4902;Percent similarity is 13.259893920848635
output-code-1.txt vs output-code-79.txt: 900/6897;Percent similarity is 13.049151805132666
output-code-1.txt vs output-code-80.txt: 918/7068;Percent similarity is 12.98811544991511
output-code-1.txt vs output-code-82.txt: 600/4446;Percent similarity is 13.49527665317139
output-code-1.txt vs output-code-83.txt: 1265/9804;Percent similarity is 12.902896776825784
output-code-1.txt vs output-code-84.txt: 808/6213;Percent similarity is 13.004989538065349
output-code-1.txt vs output-code-85.txt: 752/5757;Percent similarity is 13.062358867465692
output-code-1.txt vs output-code-86.txt: 406/3021;Percent similarity is 13.439258523667661
output-code-1.txt vs output-code-87.txt: 679/5130;Percent similarity is 13.235867446393762
