c,r,m
"<Node id=10559 labels={'Opi'} properties={'name': 'R', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15680 start_node_id=10559 end_node_id=10553 nodes=(10559, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10566 labels={'Opi'} properties={'name': 'S', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15699 start_node_id=10566 end_node_id=10553 nodes=(10566, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10567 labels={'Opi'} properties={'name': 'I', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15701 start_node_id=10567 end_node_id=10553 nodes=(10567, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10576 labels={'Opi'} properties={'name': 'S', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15725 start_node_id=10576 end_node_id=10553 nodes=(10576, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10577 labels={'Opi'} properties={'name': 'I', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15726 start_node_id=10577 end_node_id=10553 nodes=(10577, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10580 labels={'Opi'} properties={'name': 'E', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15729 start_node_id=10580 end_node_id=10553 nodes=(10580, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10589 labels={'Opi'} properties={'name': 'E', 'order_att': 6, 'value': '', 'order_box': 0}>","<Relationship id=15755 start_node_id=10589 end_node_id=10553 nodes=(10589, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10591 labels={'Opi'} properties={'name': 'I', 'order_att': 6, 'value': '', 'order_box': 0}>","<Relationship id=15757 start_node_id=10591 end_node_id=10553 nodes=(10591, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10598 labels={'Opi'} properties={'name': 'I', 'order_att': 7, 'value': '', 'order_box': 0}>","<Relationship id=15775 start_node_id=10598 end_node_id=10553 nodes=(10598, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15638 start_node_id=10543 end_node_id=10554 nodes=(10543, 10554) type=Contains properties={'index': 3}>","<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15671 start_node_id=10554 end_node_id=10555 nodes=(10554, 10555) type=Port_Of properties={}>","<Node id=10555 labels={'Opo'} properties={'name': 'N', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10568 labels={'Opi'} properties={'name': 'un-named', 'order_att': 4, 'value': '', 'order_box': 0}>","<Relationship id=15702 start_node_id=10568 end_node_id=10555 nodes=(10568, 10555) type=Wire properties={}>","<Node id=10555 labels={'Opo'} properties={'name': 'N', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10578 labels={'Opi'} properties={'name': 'un-named', 'order_att': 5, 'value': '', 'order_box': 0}>","<Relationship id=15727 start_node_id=10578 end_node_id=10555 nodes=(10578, 10555) type=Wire properties={}>","<Node id=10555 labels={'Opo'} properties={'name': 'N', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15672 start_node_id=10554 end_node_id=10556 nodes=(10554, 10556) type=Port_Of properties={}>","<Node id=10556 labels={'Opi'} properties={'name': 'S', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10560 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15682 start_node_id=10560 end_node_id=10556 nodes=(10560, 10556) type=Wire properties={'index': 0}>","<Node id=10556 labels={'Opi'} properties={'name': 'S', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15673 start_node_id=10554 end_node_id=10557 nodes=(10554, 10557) type=Port_Of properties={}>","<Node id=10557 labels={'Opi'} properties={'name': 'E', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10560 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15683 start_node_id=10560 end_node_id=10557 nodes=(10560, 10557) type=Wire properties={'index': 1}>","<Node id=10557 labels={'Opi'} properties={'name': 'E', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15674 start_node_id=10554 end_node_id=10558 nodes=(10554, 10558) type=Port_Of properties={}>","<Node id=10558 labels={'Opi'} properties={'name': 'I', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10561 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15686 start_node_id=10561 end_node_id=10558 nodes=(10561, 10558) type=Wire properties={'index': 1}>","<Node id=10558 labels={'Opi'} properties={'name': 'I', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10554 labels={'Expression'} properties={'name': 'Expression13', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15675 start_node_id=10554 end_node_id=10559 nodes=(10554, 10559) type=Port_Of properties={}>","<Node id=10559 labels={'Opi'} properties={'name': 'R', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10562 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15689 start_node_id=10562 end_node_id=10559 nodes=(10562, 10559) type=Wire properties={'index': 1}>","<Node id=10559 labels={'Opi'} properties={'name': 'R', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15639 start_node_id=10543 end_node_id=10560 nodes=(10543, 10560) type=Contains properties={}>","<Node id=10560 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10561 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15687 start_node_id=10561 end_node_id=10560 nodes=(10561, 10560) type=Wire properties={'index': 0}>","<Node id=10560 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15641 start_node_id=10543 end_node_id=10561 nodes=(10543, 10561) type=Contains properties={}>","<Node id=10561 labels={'Primitive'} properties={'name': 'ast.Add', 'order_att': 3, 'value': '', 'order_box': 0}>"
